source_file,source_integration,source_integration_code,source_integration_name,source_integration_version,invoke,call_type,target_integration_code,target_version,target_integration_name,resource_uri,adapter_code,adapter_name,application_name,error
OUTL-BA-OFSC_WACS_STOREROOM_SYNC_01.22.3000.iar.yaml,"OUTL-BA-OFSC_WACS_STOREROOM_SYNC
01.22.3000",OUTL-BA-OFSC_WACS_STOREROOM_SYNC,Oracle Utilities OFSC WACS Storeroom Sync,01.22.3000,bulkupdateinventories(i5),Adapter_Invoke,,,,/ofscCore/v1/resources/custom-actions/bulkUpdateInventories,OUTL-BRT-REST-OFSC_WACSOFSC,Oracle Utilities REST OFSC for WACS-OFSC,bulkupdateinventories,
OUTL-BA-OFSC_WACS_STOREROOM_SYNC_01.22.3000.iar.yaml,"OUTL-BA-OFSC_WACS_STOREROOM_SYNC
01.22.3000",OUTL-BA-OFSC_WACS_STOREROOM_SYNC,Oracle Utilities OFSC WACS Storeroom Sync,01.22.3000,getResourceInventories(i4),Adapter_Invoke,,,,https://tsgt.fs.ocs.oraclecloud.com/rest/ofscCore/v1/resources/{resourceId}/inventories,OUTL-BRT-APP-OFSC_WACSOFSC,Oracle Utilities OFSC for WACS-OFSC,getResourceInventories,
OUTL-BA-OFSC_WACS_STOREROOM_SYNC_01.22.3000.iar.yaml,"OUTL-BA-OFSC_WACS_STOREROOM_SYNC
01.22.3000",OUTL-BA-OFSC_WACS_STOREROOM_SYNC,Oracle Utilities OFSC WACS Storeroom Sync,01.22.3000,resourceinventorybulk(i3),Adapter_Invoke,,,,/ofscCore/v1/resources/custom-actions/bulkUpdateInventories,OUTL-BRT-REST-OFSC_WACSOFSC,Oracle Utilities REST OFSC for WACS-OFSC,resourceinventorybulk,
OUTL-BA-OFSC_WACS_WORK_REQ_01.22.3000.iar.yaml,"OUTL-BA-OFSC_WACS_WORK_REQ
01.22.3000",OUTL-BA-OFSC_WACS_WORK_REQ,Oracle Utilities OFSC WACS Work Request,01.22.3000,createWorkRequest(i0),Adapter_Invoke,,,,,OUTL-BRT-SOAP-WACS_WACSOFSC,Oracle Utilities SOAP WACS for WACS-OFSC,createWorkRequest,
OUTL-BA-WACS_OFSC_ADMIN_SYNC_01.22.3000.iar.yaml,"OUTL-BA-WACS_OFSC_ADMIN_SYNC
01.22.3000",OUTL-BA-WACS_OFSC_ADMIN_SYNC,Oracle Utilities WACS OFSC Admin Data Sync,01.22.3000,CreateActivityType(i19),Adapter_Invoke,,,,/ofscMetadata/v1/activityTypes/{activityType},OUTL-BRT-REST-OFSC_WACSOFSC,Oracle Utilities REST OFSC for WACS-OFSC,CreateActivityType,
OUTL-BA-WACS_OFSC_ADMIN_SYNC_01.22.3000.iar.yaml,"OUTL-BA-WACS_OFSC_ADMIN_SYNC
01.22.3000",OUTL-BA-WACS_OFSC_ADMIN_SYNC,Oracle Utilities WACS OFSC Admin Data Sync,01.22.3000,GetActivityTypes(i18),Adapter_Invoke,,,,,OUTL-BRT-SOAP-WACS_WACSOFSC,Oracle Utilities SOAP WACS for WACS-OFSC,GetActivityTypes,
OUTL-BA-WACS_OFSC_ADMIN_SYNC_01.22.3000.iar.yaml,"OUTL-BA-WACS_OFSC_ADMIN_SYNC
01.22.3000",OUTL-BA-WACS_OFSC_ADMIN_SYNC,Oracle Utilities WACS OFSC Admin Data Sync,01.22.3000,GetOFSCActitvityTypes(i25),Adapter_Invoke,,,,/ofscMetadata/v1/activityTypeGroups/{label},OUTL-BRT-REST-OFSC_WACSOFSC,Oracle Utilities REST OFSC for WACS-OFSC,GetOFSCActitvityTypes,
OUTL-BA-WACS_OFSC_ADMIN_SYNC_01.22.3000.iar.yaml,"OUTL-BA-WACS_OFSC_ADMIN_SYNC
01.22.3000",OUTL-BA-WACS_OFSC_ADMIN_SYNC,Oracle Utilities WACS OFSC Admin Data Sync,01.22.3000,Get_MobileControlData(i0),Adapter_Invoke,,,,,OUTL-BRT-SOAP-WACS_WACSOFSC,Oracle Utilities SOAP WACS for WACS-OFSC,Get_MobileControlData,
OUTL-BA-WACS_OFSC_ADMIN_SYNC_01.22.3000.iar.yaml,"OUTL-BA-WACS_OFSC_ADMIN_SYNC
01.22.3000",OUTL-BA-WACS_OFSC_ADMIN_SYNC,Oracle Utilities WACS OFSC Admin Data Sync,01.22.3000,Get_OFSCWorkSkillConditions(i1),Adapter_Invoke,,,,/ofscMetadata/v1/workSkillConditions,OUTL-BRT-REST-OFSC_WACSOFSC,Oracle Utilities REST OFSC for WACS-OFSC,Get_OFSCWorkSkillConditions,
OUTL-BA-WACS_OFSC_ADMIN_SYNC_01.22.3000.iar.yaml,"OUTL-BA-WACS_OFSC_ADMIN_SYNC
01.22.3000",OUTL-BA-WACS_OFSC_ADMIN_SYNC,Oracle Utilities WACS OFSC Admin Data Sync,01.22.3000,PopulateServiceCategory(i24),Adapter_Invoke,,,,/ofscMetadata/v1/properties/wam_material_stockItemCategory/enumerationList,OUTL-BRT-REST-OFSC_WACSOFSC,Oracle Utilities REST OFSC for WACS-OFSC,PopulateServiceCategory,
OUTL-BA-WACS_OFSC_ADMIN_SYNC_01.22.3000.iar.yaml,"OUTL-BA-WACS_OFSC_ADMIN_SYNC
01.22.3000",OUTL-BA-WACS_OFSC_ADMIN_SYNC,Oracle Utilities WACS OFSC Admin Data Sync,01.22.3000,PopulateWorkTypeValues(i17),Adapter_Invoke,,,,/ofscMetadata/v1/properties/wam_work_type/enumerationList,OUTL-BRT-REST-OFSC_WACSOFSC,Oracle Utilities REST OFSC for WACS-OFSC,PopulateWorkTypeValues,
OUTL-BA-WACS_OFSC_ADMIN_SYNC_01.22.3000.iar.yaml,"OUTL-BA-WACS_OFSC_ADMIN_SYNC
01.22.3000",OUTL-BA-WACS_OFSC_ADMIN_SYNC,Oracle Utilities WACS OFSC Admin Data Sync,01.22.3000,PopulateresourceUOMValues(i9),Adapter_Invoke,,,,/ofscMetadata/v1/properties/wam_resource_uom/enumerationList,OUTL-BRT-REST-OFSC_WACSOFSC,Oracle Utilities REST OFSC for WACS-OFSC,PopulateresourceUOMValues,
OUTL-BA-WACS_OFSC_ADMIN_SYNC_01.22.3000.iar.yaml,"OUTL-BA-WACS_OFSC_ADMIN_SYNC
01.22.3000",OUTL-BA-WACS_OFSC_ADMIN_SYNC,Oracle Utilities WACS OFSC Admin Data Sync,01.22.3000,PutActivityTypesPSH(i20),Adapter_Invoke,,,,/ofscMetadata/v1/properties/wam_actType_psh/enumerationList,OUTL-BRT-REST-OFSC_WACSOFSC,Oracle Utilities REST OFSC for WACS-OFSC,PutActivityTypesPSH,
OUTL-BA-WACS_OFSC_ADMIN_SYNC_01.22.3000.iar.yaml,"OUTL-BA-WACS_OFSC_ADMIN_SYNC
01.22.3000",OUTL-BA-WACS_OFSC_ADMIN_SYNC,Oracle Utilities WACS OFSC Admin Data Sync,01.22.3000,PutCraftValues(i8),Adapter_Invoke,,,,/ofscMetadata/v1/properties/wam_craft/enumerationList,OUTL-BRT-REST-OFSC_WACSOFSC,Oracle Utilities REST OFSC for WACS-OFSC,PutCraftValues,
