source_file,source_integration,source_integration_code,source_integration_name,source_integration_version,invoke,call_type,target_integration_code,target_version,target_integration_name,resource_uri,adapter_code,adapter_name,application_name,error
BIP_SCHEDU_REPORT_WSS_SERVIC_01.00.0000.iar.yaml,"BIP_SCHEDU_REPORT_WSS_SERVIC
01.00.0000",BIP_SCHEDU_REPORT_WSS_SERVIC,BIP Schedule Report WSS Service,01.00.0000,SubmitScheduleReport(i0),Adapter_Invoke,,,,,BIP_SCHEDULEREPORTWS,BIP ScheduleReportWSSService,SubmitScheduleReport,
GET_SECRET_BY_NAME_01.00.0001.iar.yaml,"GET_SECRET_BY_NAME
01.00.0001",GET_SECRET_BY_NAME,Get Secret By Name,01.00.0001,SendErrorNotification(i1),IntegrationAction,SEND_EMAIL,01.00.0001,Send Email,/,PRESEEDED_COLLOCATED_CONN_1741,OIC Integration,SendErrorNotification,
GET_SECRET_BY_NAME_01.00.0001.iar.yaml,"GET_SECRET_BY_NAME
01.00.0001",GET_SECRET_BY_NAME,Get Secret By Name,01.00.0001,OCI_Secrete_By_Name(i0),Adapter_Invoke,,,,/20190301/secretbundles/actions/getByName,OCI_VAULT_SECRETS,OCI Vault Secrets,OCI_Secrete_By_Name,
TSGTAUDITINGPROC_SERVICE_01.04.0001.iar.yaml,"TSGTAUDITINGPROC_SERVICE
01.04.0001",TSGTAUDITINGPROC_SERVICE,TSGTAuditingProcess_Service,01.04.0001,GetConfigs(i0),IntegrationAction,TSGTGETCONFIGS_SERVICE,01.02.0000,TSGTGetConfigs_Service,/configs,PRESEEDED_COLLOCATED_CONN_1741,OIC Integration,GetConfigs,
TSGTAUDITINGPROC_SERVICE_01.04.0001.iar.yaml,"TSGTAUDITINGPROC_SERVICE
01.04.0001",TSGTAUDITINGPROC_SERVICE,TSGTAuditingProcess_Service,01.04.0001,AttechmentFile(i1),Adapter_Invoke,,,,,TSGTFTP_CONN,TSGTFtp_Conn,AttechmentFile,
TSGTAUDITINGPROC_SERVICE_01.04.0001.iar.yaml,"TSGTAUDITINGPROC_SERVICE
01.04.0001",TSGTAUDITINGPROC_SERVICE,TSGTAuditingProcess_Service,01.04.0001,attachmentDowonload(i2),Adapter_Invoke,,,,,TSGTFTP_CONN,TSGTFtp_Conn,attachmentDowonload,
TSGTAZUREADEMPLOYEESOUTBOUNDHCM_02.05.0003.iar.yaml,"TSGTAZUREADEMPLOYEESOUTBOUNDHCM
02.05.0003",TSGTAZUREADEMPLOYEESOUTBOUNDHCM,TSGTAzureADEmployeesOutboundHCM,02.05.0003,GetConfigs(i0),RESTToOIC,TSGTGETCONFIGS_SERVICE,1.0,TSGTGetConfigs_Service,/api/integration/v1/flows/rest/TSGTGETCONFIGS_SERVICE/1.0/configs,TSGTRESTOICINVOK_CONN,TSGTRestOICInvoke_Conn,GetConfigs,
TSGTAZUREADEMPLOYEESOUTBOUNDHCM_02.05.0003.iar.yaml,"TSGTAZUREADEMPLOYEESOUTBOUNDHCM
02.05.0003",TSGTAZUREADEMPLOYEESOUTBOUNDHCM,TSGTAzureADEmployeesOutboundHCM,02.05.0003,NotifyErrors(i15),IntegrationAction,TSGTPUBLISHAUDIT_SERVICE,01.00.0000,TSGTPublishAuditing_Service,/auditing,PRESEEDED_COLLOCATED_CONN_1741,OIC Integration,NotifyErrors,
TSGTAZUREADEMPLOYEESOUTBOUNDHCM_02.05.0003.iar.yaml,"TSGTAZUREADEMPLOYEESOUTBOUNDHCM
02.05.0003",TSGTAZUREADEMPLOYEESOUTBOUNDHCM,TSGTAzureADEmployeesOutboundHCM,02.05.0003,PublishAuditing4Batch(i8),IntegrationAction,TSGTPUBLISHAUDIT_SERVICE,01.00.0000,TSGTPublishAuditing_Service,/auditing,PRESEEDED_COLLOCATED_CONN_1741,OIC Integration,PublishAuditing4Batch,
TSGTAZUREADEMPLOYEESOUTBOUNDHCM_02.05.0003.iar.yaml,"TSGTAZUREADEMPLOYEESOUTBOUNDHCM
02.05.0003",TSGTAZUREADEMPLOYEESOUTBOUNDHCM,TSGTAzureADEmployeesOutboundHCM,02.05.0003,PublishAuditingFault(i10),IntegrationAction,TSGTPUBLISHAUDIT_SERVICE,01.00.0000,TSGTPublishAuditing_Service,/auditing,PRESEEDED_COLLOCATED_CONN_1741,OIC Integration,PublishAuditingFault,
TSGTAZUREADEMPLOYEESOUTBOUNDHCM_02.05.0003.iar.yaml,"TSGTAZUREADEMPLOYEESOUTBOUNDHCM
02.05.0003",TSGTAZUREADEMPLOYEESOUTBOUNDHCM,TSGTAzureADEmployeesOutboundHCM,02.05.0003,PublishAuditing(i6),RESTToOIC,TSGTPUBLISHAUDIT_SERVICE,1.0,TSGTPublishAuditing_Service,/api/integration/v1/flows/rest/TSGTPUBLISHAUDIT_SERVICE/1.0/auditing,TSGTRESTOICINVOK_CONN,TSGTRestOICInvoke_Conn,PublishAuditing,
TSGTAZUREADEMPLOYEESOUTBOUNDHCM_02.05.0003.iar.yaml,"TSGTAZUREADEMPLOYEESOUTBOUNDHCM
02.05.0003",TSGTAZUREADEMPLOYEESOUTBOUNDHCM,TSGTAzureADEmployeesOutboundHCM,02.05.0003,UpdateConfigs(i1),RESTToOIC,TSGTUPDATECONFIG_SERVICE,1.0,TSGTUpdateConfigs_Service,/api/integration/v1/flows/rest/TSGTUPDATECONFIG_SERVICE/1.0/configs,TSGTRESTOICINVOK_CONN,TSGTRestOICInvoke_Conn,UpdateConfigs,
