source_file,source_integration,source_integration_code,source_integration_name,source_integration_version,invoke,call_type,target_integration_code,target_version,target_integration_name,resource_uri,adapter_code,adapter_name,application_name,error
TSGT_OUTL_WACS_FPRC_PR_SYNC_01.23.3007.iar.yaml,"TSGT_OUTL_WACS_FPRC_PR_SYNC
01.23.3007",TSGT_OUTL_WACS_FPRC_PR_SYNC,TSGT Oracle Utilities WACS FPRC Pur Requisition Sy,01.23.3007,ApprovePurchasRequisition(i1),IntegrationAction,TSGT_UTIL_WACS_FPRC_APPR_REQ,01.22.3001,TSGT Oracle Utilities WACS FPRC Approve Pur Req,/{FPRCRequisitionHeaderId},PRESEEDED_COLLOCATED_CONN_1741,OIC Integration,ApprovePurchasRequisition,
TSGT_OUTL_WACS_FPRC_PR_SYNC_01.23.3007.iar.yaml,"TSGT_OUTL_WACS_FPRC_PR_SYNC
01.23.3007",TSGT_OUTL_WACS_FPRC_PR_SYNC,TSGT Oracle Utilities WACS FPRC Pur Requisition Sy,01.23.3007,CancelPR(i4),Adapter_Invoke,,,,https://us-phoenix-1.utilities-cloud.oracleindustry.com:443/c2g65p/prod/wac/rest/apis/cm/purchasing/PRHeader/PRUpdate,OUTL-BRT-REST-WACS_WACSFPRC,Oracle Utilities REST WACS for WACS-FPRC,CancelPR,
TSGT_OUTL_WACS_FPRC_PR_SYNC_01.23.3007.iar.yaml,"TSGT_OUTL_WACS_FPRC_PR_SYNC
01.23.3007",TSGT_OUTL_WACS_FPRC_PR_SYNC,TSGT Oracle Utilities WACS FPRC Pur Requisition Sy,01.23.3007,CreatePurchaseRequisition(i0),Adapter_Invoke,,,,,OUTL-BRT-ERPCLOUD_WACSFPRC,Oracle Utilities ERP Cloud for WACS-FPRC,CreatePurchaseRequisition,
TSGT_OUTL_WACS_FPRC_PR_SYNC_01.23.3007.iar.yaml,"TSGT_OUTL_WACS_FPRC_PR_SYNC
01.23.3007",TSGT_OUTL_WACS_FPRC_PR_SYNC,TSGT Oracle Utilities WACS FPRC Pur Requisition Sy,01.23.3007,GetinitiatorEmail(i5),Adapter_Invoke,,,,https://us-phoenix-1.utilities-cloud.oracleindustry.com:443/c2g65p/prod/wac/rest/apis/common/admin/identityUsers/{user},OUTL-BRT-REST-WACS_WACSFPRC,Oracle Utilities REST WACS for WACS-FPRC,GetinitiatorEmail,
TSGT_OUTL_WACS_FPRC_PR_SYNC_01.23.3007.iar.yaml,"TSGT_OUTL_WACS_FPRC_PR_SYNC
01.23.3007",TSGT_OUTL_WACS_FPRC_PR_SYNC,TSGT Oracle Utilities WACS FPRC Pur Requisition Sy,01.23.3007,getBuyer(i3),Adapter_Invoke,,,,,OUTL-BRT-ERPCLOUD_WACSFPRC,Oracle Utilities ERP Cloud for WACS-FPRC,getBuyer,
TSGT_OUTL_WACS_FPRC_PR_SYNC_01.23.3007.iar.yaml,"TSGT_OUTL_WACS_FPRC_PR_SYNC
01.23.3007",TSGT_OUTL_WACS_FPRC_PR_SYNC,TSGT Oracle Utilities WACS FPRC Pur Requisition Sy,01.23.3007,getOrderInfo(i2),Adapter_Invoke,,,,,OUTL-BRT-ERPCLOUD_WACSFPRC,Oracle Utilities ERP Cloud for WACS-FPRC,getOrderInfo,
TSGT_UTIL_WACS_FPRC_APPR_REQ_01.22.3001.iar.yaml,"TSGT_UTIL_WACS_FPRC_APPR_REQ
01.22.3001",TSGT_UTIL_WACS_FPRC_APPR_REQ,TSGT Oracle Utilities WACS FPRC Approve Pur Req,01.22.3001,SubmitPRForApproval(i0),Adapter_Invoke,,,,,OUTL-BRT-ERPCLOUD_WACSFPRC,Oracle Utilities ERP Cloud for WACS-FPRC,SubmitPRForApproval,
