DVM,OUTL-BRT-HCM_WACS_OverTimeStatus,This lookup is used to map the Employee Overtime Status between HCM and WACS,
HCM_OTStatus,WACS_OTStatus
EXEMPT,CMEX
NONEXEMPT,CMNE
