DVM,ERPWACS_AssetTrackedFlag,Map Asset Tracked Flag values between ERP and WACS.," tracked asset,   wacs_erppim"
ERP_AssetTrackedFlag,WACS_TrackableFlag
false,W1NO
true,W1YS
