DVM,ERPWACS_AssetCategory,Map ERP Asset Category to WACS Property Unit.,"  asset category,  wacs_erppim"
ERP_AssetCategory,WACS_PropertyUnit
COMPUTER-PC,PC
COMPUTER-MOBILE,LAPTOP
