DVM,OUTL-BRT-WACS_FPRC_CurrencyCode,Maps Currency code between Oracle Procurement Cloud(FPRC) and Work and Asset Cloud Service (WACS)," wacs_fprc,   currencycode"
FPRC_CurrencyCode,WACS_CurrencyCode
USD,USD
EUR,EUR
