DVM,ERPWACS_AllowSubstituteReceiptsFlag,Map Allow Substitute Receipt Flag values between ERP and WACS.,wacs_erppim; receipts
ERP_AllowSubstituteReceiptsFlag,WACS_DoNotSubstituteFlag
false,W1YS
true,W1NO
