DVM,ERPWACS_InventoryAssetFlag,Map ERP Inventory Asset Flag to WACS Capital Spare.,wacs_erppim; inventory asset
ERP_InventoryAssetFlag,WACS_CapitalSpareFlag
false,W1NO
true,W1YS
