DVM,TSGT-ERP-WACS-ExpenseCode,This is used to map Expense Code in ERP and WACS Integrations,
ERPExpenseType,WACSExpenseCode
DUES OR MEMBERSHIPS,CM-61855
ENTERTAINMENT COSTS,CM-61860
ENVIRONMENTAL EXPENSE,CM-61865
FINES AND PENALTIES,CM-61870
GENERAL AND ADMINISTRATIVE COSTS,CM-61875
INSURANCE,CM-61880
LEGAL,CM-61885
LICENSES AND PERMITS,CM-61890
MANAGEMENT FEES,CM-61895
MEALS - NON TRAVEL,CM-61900
MISCELLANEOUS,CM-61905
OFFICE SUPPLIES,CM-61910
OPERATING AGENT FUNDING,CM-61915
PRINTING OR ADVERTISING,CM-61920
RANCHING OR WILDLIFE OPERATIONS,CM-61925
RECOVERY OF COSTS INCURRED,CM-61930
SAFETY,CM-61935
SEMINARS AND CONFERENCES,CM-61940
SUBSCRIPTIONS,CM-61945
MATERIALS AND SUPPLIES - NON INVENTORIED,CM-61950
PRBO - ACTUARIAL GAIN OR LOSS,CM-62000
PRBO - PRIOR SERVICE CREDIT ADJ,CM-62002
PRBO - UNRECOGNIZED PRIOR SERVICE COST,CM-62004
PRBO - UNRECOGNIZED ACTUARIAL GAIN OR LOSS,CM-62006
EBRO - UNRECOGNIZED ACTUARIAL GAIN OR LOSS,CM-62008
EBRO - UNRECOGNIZED PRIOR SERVICE COST,CM-62010
ERBO - ACTUARIAL GAIN OR LOSS,CM-62012
ERBO - PRIOR SERVICE COST,CM-62014
SETTLEMENTS AND CURTAILMENTS,CM-62016
FEDERAL BLACK LUNG TAX,CM-70400
STATE SEVERENCE TAX EXPENSE,CM-70405
FEDERAL RECLAMATION TAX,CM-70410
M AND S - TIRES - MINING,CM-70500
MAINTENANCE - LUBES AND COOLANTS,CM-71000
MEDICAL EXPENSES,CM-71900
SAFETY INCENTIVES,CM-71905
TOOLS AND SMALL EQUIPMENT,CM-71910
WELDING,CM-71915
FENCING,CM-71920
IRRIGATION RANGE COSTS,CM-71925
RANCH MAINTENANCE,CM-71930
SECURITY,CM-71935
WEED CONTROL,CM-71940
CONVERSION ONLY,CM-99999
