DVM,TSGTCmnMsgCode_LKP,,
MessageCode,MessageDescr,Comments
TSGT_CMN_ERP_BULK_EXPORT_INITIATED,Bulk Export Job Initiated,used in the TSGT_CMN_OIC_LAUNCH_SERVICE_OB
TSGT_CMN_ERP_BULK_EXPORT_ERROR,Bulk Export Job Error,used in TSGT_CMN_OIC_LAUNCH_SERVICE_OB
TSGT_CMN_ERP_BULK_EXPORT_INACTIVE,Integration is Inactive or not defined,used in TSGT_CMN_OIC_LAUNCH_SERVICE_OB
TSGT_CMN_NO_INTEGRATION_TO_RUN,No integration to run,used in TSGT_CMN_OIC_LAUNCH_SERVICE_OB
TSGT_CMN_INVALID_PARAM,Invalid value for the  Param %1,used in TSGT_CMN_OIC_LAUNCH_SERVICE_OB
TSGT_CMN_ERP_BULK_EXPORT_EXTRACT_FAILED,Integration Name %1 : Outbound Extract ended in Status %2. Refer to the logs,used in TSGT_CMN_OIC_CALLBACK_SERVICE_OB service
TSGT_CMN_ERP_BULK_EXPORT_ESSJOBNAME_NOTFOUND,ESSJOB name not found.,used in TSGT_CMN_OIC_CALLBACK_SERVICE_OB service
TSGT_CMN_ERP_BULK_EXPORT_DISPATCHER_TIRG_SUCCESS,Dispatcher Process Successfully triggered,used in TSGT_CMN_OIC_CALLBACK_SERVICE_OB service
TSGT_CMN_ERP_BULK_EXPORT_DISPATCHER_TIRG_ERROR,Dispatcher Process trigger in Error Status,used in TSGT_CMN_OIC_CALLBACK_SERVICE_OB service
TSGT_FILE_NOT_FOUND_IN_UCM,No files found from the Extract,used in TSGT_CMN_OIC_SFTP_DISPATCH_SERVICE
TSGT_FILETYPE_NOT_FOUND_IN_UCM,File Type %1 not found from the Extract,used in TSGT_CMN_OIC_SFTP_DISPATCH_SERVICE
TSGT_CMN_CONFIGURATION_MISSING,%1 not configured for the integration %1,used in TSGT_CMN_OIC_SFTP_DISPATCH_SERVICE
TSGT_CMN_SFTP_DISPATCHER_FILE_FROM_UCM,Error Occurred while retrieving File UCM Server.,used in TSGT_CMN_OIC_SFTP_DISPATCH_SERVICE
TSGT_CMN_SFTP_DISPATCHER_NOTIFICATION,Error Occurred while invoking Common Notification service File UCM Server.,used in TSGT_CMN_OIC_SFTP_DISPATCH_SERVICE
TSGT_CMN_FILE_NOT_FOUND,"File Not Found in %1 : File name : %2, Filepath : %3",used in TSGT_CMN_OIC_LAUNCH_SERVICE_IB
TSGT_CMN_ERP_BULK_IMPORT_FAILED,Integration Name %1 : Inbound Trigger in Status %2. Refer to the logs,
TSGT_CMN_OIC_CB_GETESSJOBNAME_SCOPE,Error Occurred while retrieving ESS Job Name.,used in TSGT_CMN_OIC_CALLBACK_SERVICE_OB
TSGT_CMN_OIC_CB_GETINT_METADATA_SCOPE,Error Occurred while retrieving Outbound Metadata.,used in TSGT_CMN_OIC_CALLBACK_SERVICE_OB
TSGT_CMN_OIC_CB_INVOKE_DISPATCHER_SCOPE,Error Occurred while Invoking Dispatcher Service.,used in TSGT_CMN_OIC_CALLBACK_SERVICE_OB
