DVM,TSGTCmnMsgCode_LKP,,
MessageCode,MessageDescr,Comments
TSGT_CMN_FILE_MOVE_LOCAL_MACHINE_TO_SFTP_SUCCESS,File moved successfully from local machine to sftp path.,Used in Utility Upload Service
TSGT_CMN_FILE_MOVE_LOCAL_MACHINE_TO_SFTP_ERROR,Failed to move file from local machine to sftp path.,Used in Utility Upload Service
TSGT_CMN_FILE_ARCHIVE_ERROR,Failed to archive.,Used in Utility TSGTCmnSFTPFileOperation_Service
TSGT_CMN_FILE_ARCHIVE_SUCCESS,File archived successfully,Used in Utility TSGTCmnSFTPFileOperation_Service
TSGT_CMN_FILE_DELETE_SUCCESS,File deleted successfully,Used in Utility TSGTCmnSFTPFileOperation_Service
TSGT_CMN_FILE_DELETE_ERROR,File failed to delete. Please validate.,Used in Utility TSGTCmnSFTPFileOperation_Service
TSGT_CMN_UCM_FILE_FETCH_ERROR,Error Occurred while fetching the Document from UCM,Used in TSGTCmnUCMToObjectStorageMove_Service
TSGT_AR_INVOICE_IMPORT_FAILED,Error Occurred while Importing AR Invoices Inbound Process,Used in TSGTCmnARErpOrchestratorIbFwk_Service
TSGT_CMN_AR_ORCHESTRATOR_TIMEOUT_ERROR,Unable to get the AR Job status. Wait time elapsed while getting the status. Either increase wait time or review ESS Job from ERP Schedule Process.,Used in TSGTCmnARErpOrchestratorIbFwk_Service
TSGT_CMN_INTEGRATION_SERVICE_INITIATED,Launcher Service Initiated.,Used in TSGTCmnIntegrationTrigger_Service
TSGT_MINGEN_REPORT_GEN_INITIATED,Report Generation Process Initiated Successfully.,Used in TSGTMingenErpIbInit_Service
TSGT_MINGEN_REPORT_GEN_FAILED,"Report Generation Process Failed, Reason:",Used in TSGTMingenErpIbInit_Service
TSGT_MINGEN_REPORT_GEN_INPROG,Report Generation Process is in Progress.,Used in TSGTMingenErpIbInit_Service
TSGT_MINGEN_PACKAGE_FAILED,Error Occurred while executing Mingen Package,Used in TSGTMingenErpIbReport_Service
TSGT_MINGEN_INVALID_REPORT_TYPE,Invalid Report Type! Valid values are PRE / ACTUAL.,Used in TSGTMingenErpIbReport_Service
TSGT_MINGEN_REPORT_GEN_SUCCESS,Mingen Report generated successfully.,Used in TSGTMingenErpIbReport_Service
TSGT_MINGEN_REPORT_GEN_ERROR,Error occurred while generating Mingen Report. Please connect to the technical team for the actual status,Used in TSGTMingenErpIbReport_Service
TSGT_MINGEN_REPORT_GENERATION_SUCCESS,Mingen Report generated successfully. Please find the report attached in the email.,Used in TSGTMingenCheckRunStatus_Service
TSGT_MINGEN_REPORT_GENERATION_ERROR,Error occurred while generating Mingen Report. Please connect to the technical team for the actual status,Used in TSGTMingenCheckRunStatus_Service
TSGT_MINGEN_INVALID_PERIOD,Invalid Period! Enter a valid Period,Used in TSGTMingenErpIbReport_Service
TSGT_MINGEN_DATA_LOAD_INITIATED,Data Load Process Initiated Successfully.,Used in TSGTMingenErpIbInit_Service
TSGT_PJC_IMPORT_FAILED,Error Occurred while Importing Project Miscellaneous Cost Import Inbound Process,Used in PJC service
TSGT_CMN_ESS_JOB_SUCCESS,ESS Job Import Success,Used in Callback Inbound Service
TSGT_MINGEN_DATA_LOAD_ERROR,Error occurred while Loading Yampa file. Please connect to the technical team for the actual status,Used in TSGTMingenErpIbInit_Service
TSGT_MINGEN_DATA_LOAD_SUCCESS,Yampa file has been loaded.,Used in TSGTMingenErpIbInit_Service
TSGT_MINGEN_DATA_LOAD_INPROG,Data Load Process is in Progress.,
TSGT_LISTPRICEERPUPDATE_DISPATCHER_STATUS,List Price Update to ERP Integration is completed successfully. Details are mentioned below :,Used in EXT002 Extension TSGTListPriceERPUpdateDispatcher_Service
TSGT_LISTPRICEERPUPDATE_DISPATCHER_ERROR,List Price Update to ERP Integration is failed,Used in EXT002 Extension TSGTListPriceERPUpdateDispatcher_Service
TSGT_LEADTIMEERPUPDATE_DISPATCHER_STATUS,Lead Time Update to ERP Integration is completed successfully. Details are mentioned :,Used in EXT001 Extension TSGTLeadTimeERPUpdateDispatcher_Service
TSGT_LEADTIMEERPUPDATE_DISPATCHER_ERROR,Lead Time Update to ERP Integration is failed,Used in EXT001 Extension TSGTLeadTimeERPUpdateDispatcher_Service
TSGT_MINGEN_INVALID_BATCH_MODE,Invalid Batch Mode!! Valid values are LoadOnly/GetReport/LoadAndGenerateReport.,Used in TSGTMingenErpIbInit_Service
TSGT_NO_FILE_FOUND,File Not Found in Object Storage,Used in Object Storage File Download Service
TSGT_FILE_FOUND,File Found in Object Storage,Used in Object Storage File Download Service
TSGT_MINGEN_INVALID_REPORT_SEARCH,No Current Run Status found.,Used in TSGTMingenErpIbInit_Service
TSGT_MINGEN_YAMPA_FILE_LOAD_SUCCESS,Yampa File Loaded Successfully.,Used in TSGTMingenErpMediatorIb_Service
TSGT_MINGEN_YAMPA_FILE_LOAD_ERROR,Error while loading Yampa file. Please connect to the technical team for the actual status.,Used in TSGTMingenErpMediatorIb_Service
TSGT_NO_ITEM_FOR_UPDATE_CODE,NOITEMFORUPDATE,Used in TSGTLeadTimeERPUpdateDispatcher_Service and TSGTListPriceERPUpdateDispatcher_Service
TSGT_LEADTIME_NO_ITEM_FOR_UPDATE_REASON,Unable to get the items for lead time update,Used in EXT001 Extension TSGTLeadTimeERPUpdateDispatcher_Service
TSGT_LEADTIME_NO_ITEM_FOR_UPDATE_DETAILS,Unable to get the items for lead time update. Possible cause : Roles or data access set missing,Used in EXT001 Extension TSGTLeadTimeERPUpdateDispatcher_Service
TSGT_LISTPRICE_NO_ITEM_FOR_UPDATE_REASON,Unable to get the items for list price update,Used in EXT002 Extension TSGTListPriceERPUpdateDispatcher_Service
TSGT_LISTPRICE_NO_ITEM_FOR_UPDATE_DETAILS,Unable to get the items for list price update. Possible cause : Roles or data access set missing,Used in EXT002 Extension TSGTListPriceERPUpdateDispatcher_Service
TSGT_CMN_MOVEFILE_TO_OBJSTORAGE_ERROR,Error occurred while uploading file to object storage.,Used in Utility Service
TSGT_CMN_FILE_NOT_GIVEN,File content not given.,Used in Utility Service
TSGT_FANUMBERUPDATETOWACS_DISPATCHER_STATUS,FA Number Update to WACS is completed. Details are mentioned :,Used in INTE02A - FA Number Update to WACS
TSGT_FANUMBERUPDATETOWACS_DISPATCHER_ERROR,FA Number Update to WACS is failed,Used in INTE02A - FA Number Update to WACS
TSGT_LIST_FILE_ERROR,Unable to List the Files from SFTP. File Name Pattern : %1 and Filepath : %2,Used in Common Launcher Service
TSGT_CMN_UPDATE_LOG_ERROR,Error occurred while updating the log and transactions in VBCS,Used in all Integrations
TSGT_CMN_GENERATE_TRANSACTION_ID_ERROR,Error occurred while generating the Transaction and Instance in VBCS.,Used in Common Launcher Service
TSGT_INVALID_OPERATION,Invalid Operation from the request. Valid operation values: FIND or DELETE,Used in  TSGTCmnObjStrgFile_Service
TSGT_CMN_PURGE_OS_SUCCESS,Object Storage Purge Completed Successfully,Used in TSGTCmnObjStrgPurge_Service
TSGT_CMN_PURGE_OS_ERROR,Error occurred while purging the object storage files,Used in TSGTCmnObjStrgPurge_Service
TSGT_CMN_PURGE_OS_WARNING,No Purge Records Found. Either Purge Flag is not enabled for any of the INTs or Integration Type is Invalid,Used in TSGTCmnObjStrgPurge_Service
TSGT_RETENTION_CHECK,Retention days is NULL or Negative value,Used in TSGTFileRetentionCheck
TSGT_LASTMODIFIED_DATE,LastModifided Date should be in YYYY-MM-DD format,Used in TSGTFileRetentionCheck
TSGT_DATECOMPUTATION,Failed to compute the date. Please validate,Used in TSGTFileRetentionCheck
TSGT_INVALID_INT_TYPE,"Invalid Integration Type. Valid values are ERPIN, ERPOUT, HCMIN, HCMOUT or ALL",Used in TSGTCmnSFTPPurge_Service
TSGT_INVALID_INT_ID,Integration Id cannot be null. Please provide the valid Integration Id,Used in TSGTCmnSFTPPurge_Service
TSGT_INVALID_INPUT,At least one of the Integratiod Ids and File Path should be provided in the input,Used in TSGTCmnSFTPPurge_Service
TSGT_INVALID_RETENTION_DAYS,Retention date value cannot be null. Please provide valid number of days the files need to be retained,Used in TSGTCmnSFTPPurge_Service
TSGT_INVALID_TOEMAIL,Email Id cannot be null. Please provide valid Email Id,Used in TSGTCmnSFTPPurge_Service
TSGT_PURGE_SFTP_VALIDATION_FAILURE,Validation Failed in Common Purge SFTP Files.,Used in TSGTCmnSFTPPurge_Service
TSGT_PURGE_SFTP_ERROR,Error occurred while purging the SFTP files,Used in TSGTCmnSFTPPurge_Service
TSGT_PURGE_SFTP_SUCCESS,SFTP Purge Completed Successfully,Used in TSGTCmnSFTPPurge_Service
TSGT_FILE_DELETE_ERROR,File Found in SFTP but unable to delete it,Used in TSGTCmnSFTPPurge_Service
TSGT_PURGE_SFTP_NO_FILE_TO_PURGE,No valid Files found in SFTP to purge,Used in TSGTCmnSFTPPurge_Service
TSGT_PURGE_SFTP_WARNING,No Purge Records Found. Either Purge Flag is not enabled for any of the INTs or Integration Type is Invalid,Used in TSGTCmnSFTPPurge_Service
TSGT_MINGEN_INVALID_OPERATION,Operation is not valid. It should be either LOCK or UNLOCK,Used in TSGTMINGENERPLOCKCONTROL_SERVICE
TSGT_MINGEN_ALREADY_LOCKED,Already Locked.,Used in TSGTMINGENERPLOCKCONTROL_SERVICE
TSGT_MINGEN_ALREADY_UNLOCKED,Already UnLocked.Releasing Failed,Used in TSGTMINGENERPLOCKCONTROL_SERVICE
TSGT_MINGEN_LOCK_COMPLETED,Successfully Locked.,Used in TSGTMINGENERPLOCKCONTROL_SERVICE
TSGT_MINGEN_UNLOCK_COMPLETED,Successfully UnLocked. Please re-run the Report generation.,Used in TSGTMINGENERPLOCKCONTROL_SERVICE
TSGT_INV_ERP_WACS_RECON_ERROR,ERP WACS Reconciliation Procedure Error,Used in TSGTInvOnHandReconOrchestratorIbFwk_Service
TSGT_INV_ONHAND_RECON_ORCHESTRATION_SUCCESS,ERP WACS On-Hand Reconciliation Completed Successfully,Used in TSGTInvOnHandReconOrchestratorIbFwk_Service
TSGT_INV_ERP_WACS_RECON_STATS_ERROR,ERP WACS Reconciliation Stats Procedure Error,Used in TSGTInvOnHandReconOrchestratorIbFwk_Service
