DVM,ERPWACS_LotManagedFlag,Map Lot Control Flag values between ERP and WACS.,wacs_erppim; lot managed
ERP_LotControlFlag,WACS_LotManagedFlag
No lot control,W1NO
Full lot control,W1YS
