DVM,OUTL-BRT-WACS_FPRC_BCCategory,Maps Blanket Contract Category between Oracle Procurement Cloud(FPRC) and Work and Asset Cloud Service(WACS),wacs_fprc
FPRC_BC_Category,WACS_BC_Category
BLANKET,BPA
CONTRACT,CPA
