source_file,source_integration,source_integration_code,source_integration_name,source_integration_version,invoke,call_type,target_integration_code,target_version,target_integration_name,resource_uri,adapter_code,adapter_name,application_name,error
ORAC_UTIL_FPRC_WACS_VEND_LOC__CL_02.22.3001.iar.yaml,"ORAC_UTIL_FPRC_WACS_VEND_LOC__CL
02.22.3001",ORAC_UTIL_FPRC_WACS_VEND_LOC__CL,Oracle Utilities FPRC WACS Vendor Loc -CLEANNER,02.22.3001,searchVendorLocationFile(i0),Adapter_Invoke,,,,,OUTL-BRT-SOAP-UCM_WACSFPRC,Oracle Utilities SOAP UCM Gen Svc for WACS-FPRC,searchVendorLocationFile,
ORAC_UTIL_FPRC_WACS_VEND_LOC__CL_02.22.3001.iar.yaml,"ORAC_UTIL_FPRC_WACS_VEND_LOC__CL
02.22.3001",ORAC_UTIL_FPRC_WACS_VEND_LOC__CL,Oracle Utilities FPRC WACS Vendor Loc -CLEANNER,02.22.3001,GetFileFromUCM(i2),Adapter_Invoke,,,,,OUTL-BRT-SOAP-UCM_WACSFPRC,Oracle Utilities SOAP UCM Gen Svc for WACS-FPRC,GetFileFromUCM,
ORAC_UTIL_FPRC_WACS_VEND_LOC__CL_02.22.3001.iar.yaml,"ORAC_UTIL_FPRC_WACS_VEND_LOC__CL
02.22.3001",ORAC_UTIL_FPRC_WACS_VEND_LOC__CL,Oracle Utilities FPRC WACS Vendor Loc -CLEANNER,02.22.3001,Rename_ZipFile_UnzipFault(i5),Adapter_Invoke,,,,,OUTL-BRT-SOAP-UCM_WACSFPRC,Oracle Utilities SOAP UCM Gen Svc for WACS-FPRC,Rename_ZipFile_UnzipFault,
ORAC_UTIL_FPRC_WACS_VEND_LOC__CL_02.22.3001.iar.yaml,"ORAC_UTIL_FPRC_WACS_VEND_LOC__CL
02.22.3001",ORAC_UTIL_FPRC_WACS_VEND_LOC__CL,Oracle Utilities FPRC WACS Vendor Loc -CLEANNER,02.22.3001,renameFileInUCM(i4),Adapter_Invoke,,,,,OUTL-BRT-SOAP-UCM_WACSFPRC,Oracle Utilities SOAP UCM Gen Svc for WACS-FPRC,renameFileInUCM,
OUTL-BA-FPRC_WACS_BC_SYNC_01.22.3000.iar.yaml,"OUTL-BA-FPRC_WACS_BC_SYNC
01.22.3000",OUTL-BA-FPRC_WACS_BC_SYNC,Oracle Utilities FPRC WACS Blanket Contracts Sync,01.22.3000,invokeWACS_HealthCheck(i0),Adapter_Invoke,,,,https://us-phoenix-1.utilities-cloud.oracleindustry.com:443/c2g65p/prod/wac/rest/apis/common/system/healthCheck/,OUTL-BRT-REST-WACS_WACSFPRC,Oracle Utilities REST WACS for WACS-FPRC,invokeWACS_HealthCheck,
OUTL-BA-FPRC_WACS_BC_SYNC_01.22.3000.iar.yaml,"OUTL-BA-FPRC_WACS_BC_SYNC
01.22.3000",OUTL-BA-FPRC_WACS_BC_SYNC,Oracle Utilities FPRC WACS Blanket Contracts Sync,01.22.3000,searchBlanketContractFile(i1),Adapter_Invoke,,,,,OUTL-BRT-SOAP-UCM_WACSFPRC,Oracle Utilities SOAP UCM Gen Svc for WACS-FPRC,searchBlanketContractFile,
OUTL-BA-FPRC_WACS_BC_SYNC_01.22.3000.iar.yaml,"OUTL-BA-FPRC_WACS_BC_SYNC
01.22.3000",OUTL-BA-FPRC_WACS_BC_SYNC,Oracle Utilities FPRC WACS Blanket Contracts Sync,01.22.3000,GetFileFromUCM(i2),Adapter_Invoke,,,,,OUTL-BRT-SOAP-UCM_WACSFPRC,Oracle Utilities SOAP UCM Gen Svc for WACS-FPRC,GetFileFromUCM,
OUTL-BA-FPRC_WACS_BC_SYNC_01.22.3000.iar.yaml,"OUTL-BA-FPRC_WACS_BC_SYNC
01.22.3000",OUTL-BA-FPRC_WACS_BC_SYNC,Oracle Utilities FPRC WACS Blanket Contracts Sync,01.22.3000,invoke_UOMConversionRest(i5),Adapter_Invoke,,,,,OUTL-BRT-ERPCLOUD_WACSFPRC,Oracle Utilities ERP Cloud for WACS-FPRC,invoke_UOMConversionRest,
OUTL-BA-FPRC_WACS_BC_SYNC_01.22.3000.iar.yaml,"OUTL-BA-FPRC_WACS_BC_SYNC
01.22.3000",OUTL-BA-FPRC_WACS_BC_SYNC,Oracle Utilities FPRC WACS Blanket Contracts Sync,01.22.3000,InvokeWACSBCSync(i6),Adapter_Invoke,,,,https://us-phoenix-1.utilities-cloud.oracleindustry.com:443/c2g65p/prod/wac/rest/apis/asset/purchasing/blanketContractSynchronization/,OUTL-BRT-REST-WACS_WACSFPRC,Oracle Utilities REST WACS for WACS-FPRC,InvokeWACSBCSync,
OUTL-BA-FPRC_WACS_BC_SYNC_01.22.3000.iar.yaml,"OUTL-BA-FPRC_WACS_BC_SYNC
01.22.3000",OUTL-BA-FPRC_WACS_BC_SYNC,Oracle Utilities FPRC WACS Blanket Contracts Sync,01.22.3000,remaneFileInUCM(i4),Adapter_Invoke,,,,,OUTL-BRT-SOAP-UCM_WACSFPRC,Oracle Utilities SOAP UCM Gen Svc for WACS-FPRC,remaneFileInUCM,
OUTL-BA-FPRC_WACS_VEND_LOC_SYNC_01.22.3000.iar.yaml,"OUTL-BA-FPRC_WACS_VEND_LOC_SYNC
01.22.3000",OUTL-BA-FPRC_WACS_VEND_LOC_SYNC,Oracle Utilities FPRC WACS Vendor Locations Sync,01.22.3000,invokeHealthCheck(i1),Adapter_Invoke,,,,https://us-phoenix-1.utilities-cloud.oracleindustry.com:443/c2g65p/prod/wac/rest/apis/common/system/healthCheck/,OUTL-BRT-REST-WACS_WACSFPRC,Oracle Utilities REST WACS for WACS-FPRC,invokeHealthCheck,
OUTL-BA-FPRC_WACS_VEND_LOC_SYNC_01.22.3000.iar.yaml,"OUTL-BA-FPRC_WACS_VEND_LOC_SYNC
01.22.3000",OUTL-BA-FPRC_WACS_VEND_LOC_SYNC,Oracle Utilities FPRC WACS Vendor Locations Sync,01.22.3000,searchVendorLocationFile(i0),Adapter_Invoke,,,,,OUTL-BRT-SOAP-UCM_WACSFPRC,Oracle Utilities SOAP UCM Gen Svc for WACS-FPRC,searchVendorLocationFile,
OUTL-BA-FPRC_WACS_VEND_LOC_SYNC_01.22.3000.iar.yaml,"OUTL-BA-FPRC_WACS_VEND_LOC_SYNC
01.22.3000",OUTL-BA-FPRC_WACS_VEND_LOC_SYNC,Oracle Utilities FPRC WACS Vendor Locations Sync,01.22.3000,GetFileFromUCM(i2),Adapter_Invoke,,,,,OUTL-BRT-SOAP-UCM_WACSFPRC,Oracle Utilities SOAP UCM Gen Svc for WACS-FPRC,GetFileFromUCM,
OUTL-BA-FPRC_WACS_VEND_LOC_SYNC_01.22.3000.iar.yaml,"OUTL-BA-FPRC_WACS_VEND_LOC_SYNC
01.22.3000",OUTL-BA-FPRC_WACS_VEND_LOC_SYNC,Oracle Utilities FPRC WACS Vendor Locations Sync,01.22.3000,InvokeWACSVendorLocSync(i3),Adapter_Invoke,,,,https://us-phoenix-1.utilities-cloud.oracleindustry.com:443/c2g65p/prod/wac/rest/apis/asset/purchasing/vendorLocationSynchronization/,OUTL-BRT-REST-WACS_WACSFPRC,Oracle Utilities REST WACS for WACS-FPRC,InvokeWACSVendorLocSync,
OUTL-BA-FPRC_WACS_VEND_LOC_SYNC_01.22.3000.iar.yaml,"OUTL-BA-FPRC_WACS_VEND_LOC_SYNC
01.22.3000",OUTL-BA-FPRC_WACS_VEND_LOC_SYNC,Oracle Utilities FPRC WACS Vendor Locations Sync,01.22.3000,renameFileInUCM(i4),Adapter_Invoke,,,,,OUTL-BRT-SOAP-UCM_WACSFPRC,Oracle Utilities SOAP UCM Gen Svc for WACS-FPRC,renameFileInUCM,
OUTL-BA-OFSC_WACS_ACTIVITY_STAT_01.22.3000.iar.yaml,"OUTL-BA-OFSC_WACS_ACTIVITY_STAT
01.22.3000",OUTL-BA-OFSC_WACS_ACTIVITY_STAT,Oracle Utilities OFSC WACS Activity Interim Status,01.22.3000,getActivityDetails(i1),Adapter_Invoke,,,,https://tsgt.fs.ocs.oraclecloud.com/rest/ofscCore/v1/activities/{activityId},OUTL-BRT-APP-OFSC_WACSOFSC,Oracle Utilities OFSC for WACS-OFSC,getActivityDetails,
OUTL-BA-OFSC_WACS_ACTIVITY_STAT_01.22.3000.iar.yaml,"OUTL-BA-OFSC_WACS_ACTIVITY_STAT
01.22.3000",OUTL-BA-OFSC_WACS_ACTIVITY_STAT,Oracle Utilities OFSC WACS Activity Interim Status,01.22.3000,UpdateInterimStatus(i0),Adapter_Invoke,,,,,OUTL-BRT-SOAP-WACS_WACSOFSC,Oracle Utilities SOAP WACS for WACS-OFSC,UpdateInterimStatus,
OUTL-BA-OFSC_WACS_ASSET_QUERY_01.22.3000.iar.yaml,"OUTL-BA-OFSC_WACS_ASSET_QUERY
01.22.3000",OUTL-BA-OFSC_WACS_ASSET_QUERY,Oracle Utilities OFSC WACS Asset Query,01.22.3000,AssetQuery(i0),Adapter_Invoke,,,,,OUTL-BRT-SOAP-WACS_WACSOFSC,Oracle Utilities SOAP WACS for WACS-OFSC,AssetQuery,
OUTL-BA-OFSC_WACS_ASSET_QUERY_01.22.3000.iar.yaml,"OUTL-BA-OFSC_WACS_ASSET_QUERY
01.22.3000",OUTL-BA-OFSC_WACS_ASSET_QUERY,Oracle Utilities OFSC WACS Asset Query,01.22.3000,MainAssetQueryForPickup(i1),Adapter_Invoke,,,,,OUTL-BRT-SOAP-WACS_WACSOFSC,Oracle Utilities SOAP WACS for WACS-OFSC,MainAssetQueryForPickup,
OUTL-BA-OFSC_WACS_ASSET_QUERY_01.22.3000.iar.yaml,"OUTL-BA-OFSC_WACS_ASSET_QUERY
01.22.3000",OUTL-BA-OFSC_WACS_ASSET_QUERY,Oracle Utilities OFSC WACS Asset Query,01.22.3000,GetAssetDetailsForPickup(i2),Adapter_Invoke,,,,,OUTL-BRT-SOAP-WACS_WACSOFSC,Oracle Utilities SOAP WACS for WACS-OFSC,GetAssetDetailsForPickup,
OUTL-BA-OFSC_WACS_STOREROOM_SYNC_01.22.3000.iar.yaml,"OUTL-BA-OFSC_WACS_STOREROOM_SYNC
01.22.3000",OUTL-BA-OFSC_WACS_STOREROOM_SYNC,Oracle Utilities OFSC WACS Storeroom Sync,01.22.3000,GetStoreroomInventoryFromWACS(i1),Adapter_Invoke,,,,,OUTL-BRT-SOAP-WACS_WACSOFSC,Oracle Utilities SOAP WACS for WACS-OFSC,GetStoreroomInventoryFromWACS,
OUTL-BA-OFSC_WACS_STOREROOM_SYNC_01.22.3000.iar.yaml,"OUTL-BA-OFSC_WACS_STOREROOM_SYNC
01.22.3000",OUTL-BA-OFSC_WACS_STOREROOM_SYNC,Oracle Utilities OFSC WACS Storeroom Sync,01.22.3000,resourceinventorybulk(i3),Adapter_Invoke,,,,/ofscCore/v1/resources/custom-actions/bulkUpdateInventories,OUTL-BRT-REST-OFSC_WACSOFSC,Oracle Utilities REST OFSC for WACS-OFSC,resourceinventorybulk,
OUTL-BA-OFSC_WACS_STOREROOM_SYNC_01.22.3000.iar.yaml,"OUTL-BA-OFSC_WACS_STOREROOM_SYNC
01.22.3000",OUTL-BA-OFSC_WACS_STOREROOM_SYNC,Oracle Utilities OFSC WACS Storeroom Sync,01.22.3000,getResourceInventories(i4),Adapter_Invoke,,,,https://tsgt.fs.ocs.oraclecloud.com/rest/ofscCore/v1/resources/{resourceId}/inventories,OUTL-BRT-APP-OFSC_WACSOFSC,Oracle Utilities OFSC for WACS-OFSC,getResourceInventories,
OUTL-BA-OFSC_WACS_STOREROOM_SYNC_01.22.3000.iar.yaml,"OUTL-BA-OFSC_WACS_STOREROOM_SYNC
01.22.3000",OUTL-BA-OFSC_WACS_STOREROOM_SYNC,Oracle Utilities OFSC WACS Storeroom Sync,01.22.3000,bulkupdateinventories(i5),Adapter_Invoke,,,,/ofscCore/v1/resources/custom-actions/bulkUpdateInventories,OUTL-BRT-REST-OFSC_WACSOFSC,Oracle Utilities REST OFSC for WACS-OFSC,bulkupdateinventories,
OUTL-BA-OFSC_WACS_STOREROOM_SYNC_01.22.3000.iar.yaml,"OUTL-BA-OFSC_WACS_STOREROOM_SYNC
01.22.3000",OUTL-BA-OFSC_WACS_STOREROOM_SYNC,Oracle Utilities OFSC WACS Storeroom Sync,01.22.3000,UpdateResourceLastSyncDateTime(i0),Adapter_Invoke,,,,https://tsgt.fs.ocs.oraclecloud.com/rest/ofscCore/v1/resources/{resourceId},OUTL-BRT-APP-OFSC_WACSOFSC,Oracle Utilities OFSC for WACS-OFSC,UpdateResourceLastSyncDateTime,
OUTL-BA-OFSC_WACS_WORK_REQ_01.22.3000.iar.yaml,"OUTL-BA-OFSC_WACS_WORK_REQ
01.22.3000",OUTL-BA-OFSC_WACS_WORK_REQ,Oracle Utilities OFSC WACS Work Request,01.22.3000,createWorkRequest(i0),Adapter_Invoke,,,,,OUTL-BRT-SOAP-WACS_WACSOFSC,Oracle Utilities SOAP WACS for WACS-OFSC,createWorkRequest,
OUTL-BA-WACS_OFSC_ADMIN_SYNC_01.22.3000.iar.yaml,"OUTL-BA-WACS_OFSC_ADMIN_SYNC
01.22.3000",OUTL-BA-WACS_OFSC_ADMIN_SYNC,Oracle Utilities WACS OFSC Admin Data Sync,01.22.3000,Get_MobileControlData(i0),Adapter_Invoke,,,,,OUTL-BRT-SOAP-WACS_WACSOFSC,Oracle Utilities SOAP WACS for WACS-OFSC,Get_MobileControlData,
